City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Leshukonskoye,RU,64.8989,45.7622,3.94,99,82,3.27,broken clouds
364,Manadhoo,MV,5.7667,73.3833,82.08,72,63,6.82,broken clouds
365,Santiago Del Estero,AR,-27.7951,-64.2615,94.8,22,3,9.95,clear sky
366,Dwarka,IN,22.2394,68.9678,69.57,34,0,17.72,clear sky
367,Gashua,NG,12.871,11.0482,69.91,20,1,9.66,clear sky
368,Makakilo City,US,21.3469,-158.0858,79.12,72,1,3.44,clear sky
369,Hovd,MN,48.0056,91.6419,8.04,70,100,4.25,overcast clouds
370,Garden City,US,42.3256,-83.331,43.14,48,75,1.99,broken clouds
371,Aksarayskiy,RU,46.7924,48.0119,35.55,91,100,5.44,overcast clouds
372,Glasgow,GB,55.8652,-4.2576,46.2,87,90,1.14,overcast clouds
373,Tambura,SS,5.6,27.4667,82.13,30,100,3.11,overcast clouds
374,Damara,CF,4.9608,18.7035,81.43,30,98,3.36,overcast clouds
375,Vaitape,PF,-16.5167,-151.75,80.04,75,39,13.69,moderate rain
376,Pinotepa De Don Luis,MX,16.4167,-97.9167,87.94,39,0,5.53,clear sky
377,Port Lincoln,AU,-34.7333,135.8667,60.4,85,0,11.81,clear sky
378,Okhotsk,RU,59.3833,143.3,-9.4,79,100,14.7,overcast clouds
379,Kavaratti,IN,10.5669,72.642,82.31,72,1,8.19,clear sky
380,Stettler,CA,52.3168,-112.7186,-7.96,89,6,8.37,clear sky
381,Fort Nelson,CA,58.8053,-122.7002,-10.35,89,100,2.06,overcast clouds
382,Boa Vista,BR,2.8197,-60.6733,85.98,62,75,20.71,broken clouds
383,Jeremie,HT,18.65,-74.1167,81.99,68,13,8.86,few clouds
384,Klaksvik,FO,62.2266,-6.589,47.32,83,85,19.39,overcast clouds
385,Maningrida,AU,-12.0667,134.2667,80.04,74,100,3.31,overcast clouds
386,Esil,KZ,51.9556,66.4042,28.0,91,96,10.94,overcast clouds
387,Hasaki,JP,35.7333,140.8333,37.8,45,80,23.85,broken clouds
388,Tucuman,AR,-26.8241,-65.2226,91.4,43,75,3.44,broken clouds
389,Srednekolymsk,RU,67.45,153.6833,-20.85,98,99,7.02,overcast clouds
390,Gamba,GA,-2.65,10.0,76.28,91,100,5.97,overcast clouds
391,Springdale,US,36.1867,-94.1288,59.11,99,90,5.99,moderate rain
392,Kaseda,JP,31.4167,130.3167,39.85,64,88,25.34,overcast clouds
393,Jiangyou,CN,31.7667,104.7167,41.61,64,94,1.79,overcast clouds
394,Taksimo,RU,56.3444,114.8794,-13.63,91,100,1.12,overcast clouds
395,Pangnirtung,CA,66.1451,-65.7125,17.6,86,90,20.71,snow
396,Warrington,GB,53.3925,-2.5802,45.27,92,75,5.75,broken clouds
397,Asfi,MA,32.2994,-9.2372,61.75,73,0,12.68,clear sky
398,Maragogi,BR,-9.0122,-35.2225,81.73,72,24,12.55,few clouds
399,Kuvshinovo,RU,57.0295,34.1725,28.0,95,100,7.16,overcast clouds
400,Teknaf,BD,20.8624,92.3058,64.58,79,0,7.2,clear sky
401,Xinxiang,CN,35.3089,113.8672,28.92,35,100,5.55,overcast clouds
402,Yinchuan,CN,38.4681,106.2731,25.54,37,0,3.27,clear sky
403,Marovoay,MG,-16.1,46.6333,82.54,77,100,2.64,light rain
404,Namatanai,PG,-3.6667,152.4333,79.39,85,82,3.44,moderate rain
405,Batemans Bay,AU,-35.7167,150.1833,65.1,87,29,5.17,scattered clouds
406,Gafanha Da Nazare,PT,40.6362,-8.7134,57.76,81,4,5.59,clear sky
407,Semme,FR,46.1963,1.5007,41.41,77,0,5.41,clear sky
408,Mugumu,TZ,-1.85,34.7,66.22,77,100,3.15,overcast clouds
409,Tyrma,RU,50.0833,132.1667,-29.24,99,27,1.74,scattered clouds
410,Kirovsk,UA,48.6375,38.6428,32.67,100,100,1.43,light snow
411,Susangerd,IR,31.5608,48.1831,71.62,52,100,16.96,overcast clouds
412,Manaus,BR,-3.1019,-60.025,81.09,83,75,12.66,thunderstorm
413,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,0,6.91,light rain
414,Taoudenni,ML,22.6783,-3.9836,83.23,17,99,8.14,overcast clouds
415,Elko,US,41.0002,-115.5012,29.05,88,53,9.15,broken clouds
416,Mezen,RU,65.8522,44.24,2.91,98,76,3.38,broken clouds
417,Tual,ID,-5.6667,132.75,82.54,73,100,5.23,overcast clouds
